Categoria: Tutte le categorie

Mese,Factorio: (Tutto il mondo)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,1
2004-06,0
2004-07,0
2004-08,0
2004-09,1
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,1
2005-07,1
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,< 1
2006-04,1
2006-05,0
2006-06,1
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,< 1
2007-04,0
2007-05,1
2007-06,0
2007-07,0
2007-08,< 1
2007-09,< 1
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,< 1
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,< 1
2009-06,< 1
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,< 1
2010-03,0
2010-04,< 1
2010-05,0
2010-06,< 1
2010-07,0
2010-08,0
2010-09,0
2010-10,< 1
2010-11,0
2010-12,0
2011-01,< 1
2011-02,< 1
2011-03,0
2011-04,< 1
2011-05,0
2011-06,< 1
2011-07,0
2011-08,0
2011-09,< 1
2011-10,< 1
2011-11,< 1
2011-12,< 1
2012-01,0
2012-02,< 1
2012-03,< 1
2012-04,0
2012-05,0
2012-06,< 1
2012-07,< 1
2012-08,0
2012-09,0
2012-10,0
2012-11,< 1
2012-12,0
2013-01,< 1
2013-02,2
2013-03,3
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,2
2014-02,2
2014-03,3
2014-04,5
2014-05,19
2014-06,10
2014-07,8
2014-08,12
2014-09,6
2014-10,6
2014-11,12
2014-12,15
2015-01,16
2015-02,12
2015-03,10
2015-04,10
2015-05,14
2015-06,12
2015-07,13
2015-08,14
2015-09,12
2015-10,11
2015-11,9
2015-12,10
2016-01,9
2016-02,21
2016-03,100
2016-04,90
2016-05,55
2016-06,42
2016-07,40
2016-08,33
2016-09,34
2016-10,31
2016-11,33
2016-12,33
2017-01,42
2017-02,47
2017-03,39
2017-04,50
2017-05,78
2017-06,47
2017-07,41
2017-08,42
2017-09,41
2017-10,38
2017-11,39
2017-12,50
2018-01,45
2018-02,39
2018-03,38
2018-04,49
2018-05,42
2018-06,38
2018-07,36
2018-08,30
2018-09,28
2018-10,30
2018-11,31
2018-12,29
2019-01,35
2019-02,34
2019-03,51
2019-04,36
2019-05,34
2019-06,30
2019-07,28
2019-08,27
2019-09,26
2019-10,28
2019-11,28
2019-12,25
2020-01,30
2020-02,28
2020-03,35
2020-04,40
2020-05,30
2020-06,33
2020-07,27
2020-08,68
2020-09,56
2020-10,37
2020-11,29
2020-12,25
2021-01,30
2021-02,32
2021-03,27
2021-04,25
2021-05,23
2021-06,29
2021-07,25
2021-08,25
2021-09,29
2021-10,27
2021-11,24
2021-12,27
2022-01,47
2022-02,44
2022-03,37
2022-04,48
2022-05,46
2022-06,46
2022-07,51
2022-08,47
2022-09,49
2022-10,51
2022-11,54
2022-12,57
2023-01,59
2023-02,49
2023-03,46
2023-04,49
2023-05,39
2023-06,40
