Categoria: Tutte le categorie

Mese,Omori: (Tutto il mondo)
2004-01,5
2004-02,8
2004-03,2
2004-04,0
2004-05,1
2004-06,0
2004-07,3
2004-08,5
2004-09,3
2004-10,2
2004-11,1
2004-12,2
2005-01,2
2005-02,4
2005-03,2
2005-04,3
2005-05,3
2005-06,3
2005-07,2
2005-08,3
2005-09,3
2005-10,2
2005-11,2
2005-12,1
2006-01,2
2006-02,3
2006-03,2
2006-04,2
2006-05,2
2006-06,2
2006-07,2
2006-08,2
2006-09,2
2006-10,1
2006-11,2
2006-12,1
2007-01,2
2007-02,2
2007-03,1
2007-04,2
2007-05,2
2007-06,1
2007-07,2
2007-08,2
2007-09,2
2007-10,1
2007-11,2
2007-12,1
2008-01,2
2008-02,1
2008-03,2
2008-04,2
2008-05,2
2008-06,1
2008-07,1
2008-08,2
2008-09,2
2008-10,1
2008-11,1
2008-12,1
2009-01,2
2009-02,1
2009-03,2
2009-04,2
2009-05,2
2009-06,1
2009-07,2
2009-08,2
2009-09,1
2009-10,1
2009-11,1
2009-12,1
2010-01,1
2010-02,2
2010-03,1
2010-04,2
2010-05,1
2010-06,2
2010-07,1
2010-08,2
2010-09,1
2010-10,1
2010-11,1
2010-12,1
2011-01,2
2011-02,1
2011-03,1
2011-04,1
2011-05,2
2011-06,2
2011-07,2
2011-08,2
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,2
2012-02,2
2012-03,1
2012-04,1
2012-05,2
2012-06,2
2012-07,2
2012-08,2
2012-09,1
2012-10,1
2012-11,1
2012-12,2
2013-01,2
2013-02,1
2013-03,2
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,1
2014-02,2
2014-03,1
2014-04,3
2014-05,3
2014-06,3
2014-07,2
2014-08,2
2014-09,2
2014-10,2
2014-11,2
2014-12,2
2015-01,2
2015-02,2
2015-03,2
2015-04,2
2015-05,2
2015-06,2
2015-07,2
2015-08,2
2015-09,2
2015-10,2
2015-11,2
2015-12,2
2016-01,2
2016-02,3
2016-03,2
2016-04,2
2016-05,2
2016-06,2
2016-07,2
2016-08,2
2016-09,2
2016-10,2
2016-11,2
2016-12,3
2017-01,4
2017-02,3
2017-03,3
2017-04,2
2017-05,2
2017-06,2
2017-07,2
2017-08,2
2017-09,2
2017-10,2
2017-11,2
2017-12,2
2018-01,2
2018-02,2
2018-03,2
2018-04,2
2018-05,2
2018-06,2
2018-07,2
2018-08,2
2018-09,2
2018-10,2
2018-11,2
2018-12,1
2019-01,2
2019-02,2
2019-03,2
2019-04,2
2019-05,1
2019-06,1
2019-07,1
2019-08,2
2019-09,2
2019-10,2
2019-11,2
2019-12,2
2020-01,2
2020-02,1
2020-03,2
2020-04,1
2020-05,2
2020-06,2
2020-07,1
2020-08,1
2020-09,2
2020-10,1
2020-11,2
2020-12,11
2021-01,40
2021-02,47
2021-03,39
2021-04,41
2021-05,46
2021-06,46
2021-07,51
2021-08,45
2021-09,33
2021-10,25
2021-11,28
2021-12,43
2022-01,62
2022-02,51
2022-03,56
2022-04,57
2022-05,49
2022-06,80
2022-07,100
2022-08,80
2022-09,65
2022-10,60
2022-11,60
2022-12,69
2023-01,78
2023-02,75
2023-03,67
2023-04,62
2023-05,53
2023-06,57
