"DateTime","Players","Average Players","Flags"
"2020-12-25 00:00:00",2354,,
"2020-12-26 00:00:00",2867,,
"2020-12-27 00:00:00",2931,,
"2020-12-28 00:00:00",2921,,
"2020-12-29 00:00:00",2757,,
"2020-12-30 00:00:00",2742,,
"2020-12-31 00:00:00",2656,,
"2021-01-01 00:00:00",2508,,
"2021-01-02 00:00:00",2633,,
"2021-01-03 00:00:00",2507,,
"2021-01-04 00:00:00",2442,,
"2021-01-05 00:00:00",2358,,
"2021-01-06 00:00:00",2319,,
"2021-01-07 00:00:00",2203,,
"2021-01-08 00:00:00",2299,,
"2021-01-09 00:00:00",2352,,
"2021-01-10 00:00:00",2373,,
"2021-01-11 00:00:00",2350,,
"2021-01-12 00:00:00",2170,,
"2021-01-13 00:00:00",2102,,
"2021-01-14 00:00:00",2025,,
"2021-01-15 00:00:00",1966,,
"2021-01-16 00:00:00",2100,,
"2021-01-17 00:00:00",2179,,
"2021-01-18 00:00:00",2150,,
"2021-01-19 00:00:00",2033,,
"2021-01-20 00:00:00",1910,,
"2021-01-21 00:00:00",1786,,
"2021-01-22 00:00:00",1723,,
"2021-01-23 00:00:00",2016,,
"2021-01-24 00:00:00",1983,,
"2021-01-25 00:00:00",1980,,
"2021-01-26 00:00:00",1901,,
"2021-01-27 00:00:00",1804,,
"2021-01-28 00:00:00",1766,,
"2021-01-29 00:00:00",1755,,
"2021-01-30 00:00:00",2239,,
"2021-01-31 00:00:00",2287,,
"2021-02-01 00:00:00",2246,,
"2021-02-02 00:00:00",2113,,
"2021-02-03 00:00:00",2014,,
"2021-02-04 00:00:00",1919,,
"2021-02-05 00:00:00",1887,,
"2021-02-06 00:00:00",2213,,
"2021-02-07 00:00:00",2205,,
"2021-02-08 00:00:00",2075,,
"2021-02-09 00:00:00",1855,,
"2021-02-10 00:00:00",1921,,
"2021-02-11 00:00:00",2017,,
"2021-02-12 00:00:00",2688,,
"2021-02-13 00:00:00",3166,,
"2021-02-14 00:00:00",3019,,
"2021-02-15 00:00:00",2819,,
"2021-02-16 00:00:00",2729,,
"2021-02-17 00:00:00",2560,,
"2021-02-18 00:00:00",2360,,
"2021-02-19 00:00:00",2375,,
"2021-02-20 00:00:00",2424,,
"2021-02-21 00:00:00",2434,,
"2021-02-22 00:00:00",2275,,
"2021-02-23 00:00:00",1973,,
"2021-02-24 00:00:00",1904,,
"2021-02-25 00:00:00",1766,,
"2021-02-26 00:00:00",1679,,
"2021-02-27 00:00:00",2001,,
"2021-02-28 00:00:00",1966,,
"2021-03-01 00:00:00",1886,,
"2021-03-02 00:00:00",1779,,
"2021-03-03 00:00:00",1557,,
"2021-03-04 00:00:00",1566,,
"2021-03-05 00:00:00",1514,,
"2021-03-06 00:00:00",1713,,
"2021-03-07 00:00:00",1824,,
"2021-03-08 00:00:00",1675,,
"2021-03-09 00:00:00",1514,,
"2021-03-10 00:00:00",1517,,
"2021-03-11 00:00:00",1436,,
"2021-03-12 00:00:00",1441,,
"2021-03-13 00:00:00",1666,,
"2021-03-14 00:00:00",1665,,
"2021-03-15 00:00:00",1604,,
"2021-03-16 00:00:00",1567,,
"2021-03-17 00:00:00",1502,,
"2021-03-18 00:00:00",1447,,
"2021-03-19 00:00:00",1405,,
"2021-03-20 00:00:00",1603,,
"2021-03-21 00:00:00",1601,,
"2021-03-22 00:00:00",1562,,
"2021-03-23 00:00:00",1466,,
"2021-03-24 00:00:00",1451,,
"2021-03-25 00:00:00",1487,,
"2021-03-26 00:00:00",1433,,
"2021-03-27 00:00:00",1637,,
"2021-03-28 00:00:00",1610,,
"2021-03-29 00:00:00",1598,,
"2021-03-30 00:00:00",1491,,
"2021-03-31 00:00:00",1489,,
"2021-04-01 00:00:00",1413,,
"2021-04-02 00:00:00",1474,,
"2021-04-03 00:00:00",1594,,
"2021-04-04 00:00:00",1566,,
"2021-04-05 00:00:00",1602,,
"2021-04-06 00:00:00",1537,,
"2021-04-07 00:00:00",1434,,
"2021-04-08 00:00:00",1472,,
"2021-04-09 00:00:00",1485,,
"2021-04-10 00:00:00",1595,,
"2021-04-11 00:00:00",1605,,
"2021-04-12 00:00:00",1582,,
"2021-04-13 00:00:00",1474,,
"2021-04-14 00:00:00",1349,,
"2021-04-15 00:00:00",1317,,
"2021-04-16 00:00:00",1273,,
"2021-04-17 00:00:00",1426,,
"2021-04-18 00:00:00",1474,,
"2021-04-19 00:00:00",1387,,
