"DateTime","Players","Average Players","Flags"
"2020-09-23 00:00:00",1788,,
"2020-09-24 00:00:00",1951,,
"2020-09-25 00:00:00",1692,,
"2020-09-26 00:00:00",1649,,
"2020-09-27 00:00:00",1406,,
"2020-09-28 00:00:00",1046,,
"2020-09-29 00:00:00",1097,,
"2020-09-30 00:00:00",1060,,
"2020-10-01 00:00:00",974,,
"2020-10-02 00:00:00",944,,
"2020-10-03 00:00:00",1071,,
"2020-10-04 00:00:00",989,,
"2020-10-05 00:00:00",693,,
"2020-10-06 00:00:00",653,,
"2020-10-07 00:00:00",652,,
"2020-10-08 00:00:00",463,,
"2020-10-09 00:00:00",463,,
"2020-10-10 00:00:00",560,,
"2020-10-11 00:00:00",462,,
"2020-10-12 00:00:00",345,,
"2020-10-13 00:00:00",307,,
"2020-10-14 00:00:00",279,,
"2020-10-15 00:00:00",254,,
"2020-10-16 00:00:00",316,,
"2020-10-17 00:00:00",402,,
"2020-10-18 00:00:00",358,,
"2020-10-19 00:00:00",235,,
"2020-10-20 00:00:00",259,,
"2020-10-21 00:00:00",217,,
"2020-10-22 00:00:00",238,,
"2020-10-23 00:00:00",244,,
"2020-10-24 00:00:00",319,,
"2020-10-25 00:00:00",331,,
"2020-10-26 00:00:00",226,,
"2020-10-27 00:00:00",228,,
"2020-10-28 00:00:00",203,,
"2020-10-29 00:00:00",210,,
"2020-10-30 00:00:00",213,,
"2020-10-31 00:00:00",269,,
"2020-11-01 00:00:00",259,,
"2020-11-02 00:00:00",187,,
"2020-11-03 00:00:00",190,,
"2020-11-04 00:00:00",186,,
"2020-11-05 00:00:00",195,,
"2020-11-06 00:00:00",200,,
"2020-11-07 00:00:00",267,,
"2020-11-08 00:00:00",244,,
"2020-11-09 00:00:00",166,,
"2020-11-10 00:00:00",159,,
"2020-11-11 00:00:00",164,,
"2020-11-12 00:00:00",167,,
"2020-11-13 00:00:00",179,,
"2020-11-14 00:00:00",252,,
"2020-11-15 00:00:00",255,,
"2020-11-16 00:00:00",171,,
"2020-11-17 00:00:00",160,,
"2020-11-18 00:00:00",152,,
"2020-11-19 00:00:00",162,,
"2020-11-20 00:00:00",182,,
"2020-11-21 00:00:00",244,,
"2020-11-22 00:00:00",242,,
"2020-11-23 00:00:00",183,,
"2020-11-24 00:00:00",397,,
"2020-11-25 00:00:00",580,,
"2020-11-26 00:00:00",536,,
"2020-11-27 00:00:00",612,,
"2020-11-28 00:00:00",645,,
"2020-11-29 00:00:00",574,,
"2020-11-30 00:00:00",442,,
"2020-12-01 00:00:00",419,,
"2020-12-02 00:00:00",313,,
"2020-12-03 00:00:00",281,,
"2020-12-04 00:00:00",281,,
"2020-12-05 00:00:00",321,,
"2020-12-06 00:00:00",313,,
"2020-12-07 00:00:00",229,,
"2020-12-08 00:00:00",199,,
"2020-12-09 00:00:00",181,,
"2020-12-10 00:00:00",188,,
"2020-12-11 00:00:00",205,,
"2020-12-12 00:00:00",262,,
"2020-12-13 00:00:00",252,,
"2020-12-14 00:00:00",215,,
"2020-12-15 00:00:00",164,,
"2020-12-16 00:00:00",171,,
"2020-12-17 00:00:00",180,,
"2020-12-18 00:00:00",193,,
"2020-12-19 00:00:00",232,,
"2020-12-20 00:00:00",224,,
"2020-12-21 00:00:00",189,,
"2020-12-22 00:00:00",260,,
"2020-12-23 00:00:00",370,,
"2020-12-24 00:00:00",423,,
"2020-12-25 00:00:00",738,,
"2020-12-26 00:00:00",737,,
"2020-12-27 00:00:00",682,,
"2020-12-28 00:00:00",616,,
"2020-12-29 00:00:00",511,,
"2020-12-30 00:00:00",526,,
"2020-12-31 00:00:00",540,,
"2021-01-01 00:00:00",593,,
"2021-01-02 00:00:00",543,,
"2021-01-03 00:00:00",478,,
"2021-01-04 00:00:00",407,,
"2021-01-05 00:00:00",379,,
"2021-01-06 00:00:00",330,,
"2021-01-07 00:00:00",302,,
"2021-01-08 00:00:00",307,,
"2021-01-09 00:00:00",363,,
"2021-01-10 00:00:00",351,,
"2021-01-11 00:00:00",284,,
"2021-01-12 00:00:00",237,,
"2021-01-13 00:00:00",215,,
"2021-01-14 00:00:00",213,,
"2021-01-15 00:00:00",266,,
"2021-01-16 00:00:00",301,,
"2021-01-17 00:00:00",278,,
"2021-01-18 00:00:00",240,,
"2021-01-19 00:00:00",211,,
"2021-01-20 00:00:00",203,,
"2021-01-21 00:00:00",200,,
"2021-01-22 00:00:00",246,,
"2021-01-23 00:00:00",284,,
"2021-01-24 00:00:00",273,,
"2021-01-25 00:00:00",217,,
"2021-01-26 00:00:00",198,,
"2021-01-27 00:00:00",197,,
"2021-01-28 00:00:00",210,,
"2021-01-29 00:00:00",212,,
"2021-01-30 00:00:00",299,,
"2021-01-31 00:00:00",260,,
"2021-02-01 00:00:00",200,,
"2021-02-02 00:00:00",186,,
"2021-02-03 00:00:00",174,,
"2021-02-04 00:00:00",174,,
"2021-02-05 00:00:00",195,,
"2021-02-06 00:00:00",240,,
"2021-02-07 00:00:00",236,,
"2021-02-08 00:00:00",192,,
"2021-02-09 00:00:00",209,,
"2021-02-10 00:00:00",185,,
"2021-02-11 00:00:00",242,,
"2021-02-12 00:00:00",507,,
"2021-02-13 00:00:00",711,,
"2021-02-14 00:00:00",777,,
"2021-02-15 00:00:00",626,,
"2021-02-16 00:00:00",441,,
"2021-02-17 00:00:00",298,,
"2021-02-18 00:00:00",299,,
"2021-02-19 00:00:00",273,,
"2021-02-20 00:00:00",336,,
"2021-02-21 00:00:00",322,,
"2021-02-22 00:00:00",213,,
"2021-02-23 00:00:00",219,,
"2021-02-24 00:00:00",198,,
"2021-02-25 00:00:00",189,,
"2021-02-26 00:00:00",203,,
"2021-02-27 00:00:00",269,,
"2021-02-28 00:00:00",243,,
"2021-03-01 00:00:00",190,,
"2021-03-02 00:00:00",193,,
"2021-03-03 00:00:00",189,,
"2021-03-04 00:00:00",159,,
"2021-03-05 00:00:00",199,,
"2021-03-06 00:00:00",255,,
"2021-03-07 00:00:00",249,,
"2021-03-08 00:00:00",189,,
"2021-03-09 00:00:00",165,,
"2021-03-10 00:00:00",176,,
"2021-03-11 00:00:00",170,,
"2021-03-12 00:00:00",190,,
"2021-03-13 00:00:00",259,,
"2021-03-14 00:00:00",222,,
"2021-03-15 00:00:00",165,,
"2021-03-16 00:00:00",172,,
"2021-03-17 00:00:00",174,,
"2021-03-18 00:00:00",161,,
"2021-03-19 00:00:00",188,,
"2021-03-20 00:00:00",231,,
"2021-03-21 00:00:00",203,,
"2021-03-22 00:00:00",164,,
"2021-03-23 00:00:00",163,,
"2021-03-24 00:00:00",162,,
"2021-03-25 00:00:00",302,,
"2021-03-26 00:00:00",572,,
"2021-03-27 00:00:00",740,,
"2021-03-28 00:00:00",641,,
"2021-03-29 00:00:00",514,,
"2021-03-30 00:00:00",338,,
"2021-03-31 00:00:00",273,,
"2021-04-01 00:00:00",282,,
"2021-04-02 00:00:00",308,,
"2021-04-03 00:00:00",337,,
"2021-04-04 00:00:00",297,,
"2021-04-05 00:00:00",257,,
"2021-04-06 00:00:00",224,,
"2021-04-07 00:00:00",208,,
"2021-04-08 00:00:00",191,,
"2021-04-09 00:00:00",208,,
"2021-04-10 00:00:00",271,,
"2021-04-11 00:00:00",239,,
"2021-04-12 00:00:00",174,,
"2021-04-13 00:00:00",156,,
"2021-04-14 00:00:00",153,,
"2021-04-15 00:00:00",162,,
"2021-04-16 00:00:00",192,,
"2021-04-17 00:00:00",238,,
"2021-04-18 00:00:00",235,,
"2021-04-19 00:00:00",184,,
"2021-04-20 00:00:00",159,,
"2021-04-21 00:00:00",161,,
"2021-04-22 00:00:00",158,,
"2021-04-23 00:00:00",189,,
"2021-04-24 00:00:00",234,,
"2021-04-25 00:00:00",220,,
"2021-04-26 00:00:00",170,,
"2021-04-27 00:00:00",157,,
"2021-04-28 00:00:00",163,,
"2021-04-29 00:00:00",161,,
"2021-04-30 00:00:00",178,,
"2021-05-01 00:00:00",220,,
"2021-05-02 00:00:00",228,,
"2021-05-03 00:00:00",169,,
"2021-05-04 00:00:00",166,,
"2021-05-05 00:00:00",157,,
"2021-05-06 00:00:00",143,,
"2021-05-07 00:00:00",144,,
"2021-05-08 00:00:00",186,,
"2021-05-09 00:00:00",190,,
"2021-05-10 00:00:00",149,,
"2021-05-11 00:00:00",144,,
"2021-05-12 00:00:00",148,,
"2021-05-13 00:00:00",147,,
"2021-05-14 00:00:00",169,,
"2021-05-15 00:00:00",224,,
"2021-05-16 00:00:00",219,,
"2021-05-17 00:00:00",154,,
"2021-05-18 00:00:00",136,,
"2021-05-19 00:00:00",134,,
"2021-05-20 00:00:00",135,,
"2021-05-21 00:00:00",156,,
"2021-05-22 00:00:00",203,,
"2021-05-23 00:00:00",198,,
"2021-05-24 00:00:00",156,,
"2021-05-25 00:00:00",145,,
"2021-05-26 00:00:00",144,,
"2021-05-27 00:00:00",146,,
"2021-05-28 00:00:00",153,,
"2021-05-29 00:00:00",195,,
"2021-05-30 00:00:00",189,,
"2021-05-31 00:00:00",146,,
"2021-06-01 00:00:00",142,,
"2021-06-02 00:00:00",136,,
"2021-06-03 00:00:00",143,,
"2021-06-04 00:00:00",176,,
"2021-06-05 00:00:00",190,,
"2021-06-06 00:00:00",165,,
"2021-06-07 00:00:00",140,,
"2021-06-08 00:00:00",137,,
"2021-06-09 00:00:00",122,,
"2021-06-10 00:00:00",120,,
"2021-06-11 00:00:00",142,,
"2021-06-12 00:00:00",173,,
"2021-06-13 00:00:00",183,,
"2021-06-14 00:00:00",126,,
"2021-06-15 00:00:00",130,,
"2021-06-16 00:00:00",124,,
"2021-06-17 00:00:00",137,,
"2021-06-18 00:00:00",134,,
